City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
472,halesworth,52.3464,1.5029,17.23,76,37,9.75,GB,1689467164
473,thunder bay,48.4001,-89.3168,18.99,63,75,1.54,CA,1689467165
474,tamanrasset,22.785,5.5228,26.95,13,0,1.03,DZ,1689467165
475,lesnoy,57.6198,63.0784,12.21,95,100,3.13,RU,1689467166
476,muynoq,43.7683,59.0214,25.12,24,0,4.68,UZ,1689467166
477,tateyama,34.9833,139.8667,25.93,86,100,10.75,JP,1689467166
478,antipino,57.1068,65.7576,14.19,90,100,2.37,RU,1689467167
479,gadzhiyevo,69.2551,33.3362,12.58,98,99,1.9,RU,1689467167
480,zhigalovo,54.8097,105.1578,20.42,72,24,1.24,RU,1689467167
481,spring creek,40.7266,-115.5859,34.83,11,0,1.63,US,1689467168
482,nasiriyah,31.0521,46.261,35.89,9,0,2.96,IQ,1689467168
483,al mijlad,11.0333,27.7333,27.56,56,68,4.4,SD,1689467169
484,haapsalu,58.9431,23.5414,12.23,84,51,3.32,EE,1689467169
485,bel ombre,-4.6167,55.4167,25.91,83,40,4.12,SC,1689467169
486,hechuan,29.9947,106.2572,28.27,84,0,0.85,CN,1689467170
487,tokonou,9.65,-9.7833,20.22,97,92,1.82,GN,1689467170
488,bodaybo,57.8506,114.1933,17.27,68,64,0.52,RU,1689467170
489,aroma,15.8167,36.1333,23.04,84,100,9.55,SD,1689467171
490,tucuma,-0.1833,-50.05,24.67,92,57,3.15,BR,1689467171
491,yeraliyev,43.2,51.65,25.0,73,13,5.5,KZ,1689467171
492,new norfolk,-42.7826,147.0587,13.29,73,97,4.76,AU,1689467172
493,olenegorsk,68.15,33.3,13.58,95,91,2.56,RU,1689467172
494,pugachev,52.0133,48.8025,15.71,77,100,3.8,RU,1689467173
495,tsumeb,-19.2333,17.7167,14.08,35,0,4.18,NA,1689467173
496,baie-comeau,49.2168,-68.1489,14.82,100,75,3.09,CA,1689467173
497,el salto,20.3333,-104.5,23.66,70,35,2.42,MX,1689467174
498,bardai,11.65,7.2333,25.37,60,51,3.18,NG,1689466884
499,swakopmund,-22.6833,14.5333,10.47,61,0,4.65,NA,1689467174
500,sabak bernam,3.7698,100.9879,24.06,92,97,1.47,MY,1689467175
501,ronda,36.7423,-5.1671,20.47,49,0,1.88,ES,1689467175
502,port douglas,-16.4833,145.4667,23.79,72,24,6.02,AU,1689467176
503,olavarria,-36.8927,-60.3225,4.05,70,0,3.98,AR,1689467176
504,barcelos,41.5388,-8.6151,15.38,88,65,2.21,PT,1689467176
505,kapa'a,22.0752,-159.319,29.18,76,20,6.17,US,1689467177
506,oum hadjer,13.2954,19.6966,29.16,53,31,4.01,TD,1689467177
507,hammerfest,70.6634,23.6821,11.25,93,100,0.51,NO,1689467177
